department_code,department_title,lesson,resource_folder,type,original_path,new_path,new_basename,file_size_bytes
D3,Dział 3,05,02,QUIZ,dzial 3/05/02/Nowy dokument tekstowy.TXT,dzial 3/05/02/D3_L05_02_QUIZ_Nowy_dokument_tekstowy.txt,D3_L05_02_QUIZ_Nowy_dokument_tekstowy.txt,2000
D3,Dział 3,01,04,IMAGE,dzial 3/01/04/1.png,dzial 3/01/04/D3_L01_04_IMAGE_1.png,D3_L01_04_IMAGE_1.png,55900
D3,Dział 3,01,06,IMAGE,dzial 3/01/06/1.png,dzial 3/01/06/D3_L01_06_IMAGE_1.png,D3_L01_06_IMAGE_1.png,35574
D3,Dział 3,01,08,IMAGE,dzial 3/01/08/1.png,dzial 3/01/08/D3_L01_08_IMAGE_1.png,D3_L01_08_IMAGE_1.png,31172
D3,Dział 3,02,04,IMAGE,dzial 3/02/04/1.png,dzial 3/02/04/D3_L02_04_IMAGE_1.png,D3_L02_04_IMAGE_1.png,28525
D3,Dział 3,02,06,IMAGE,dzial 3/02/06/1.png,dzial 3/02/06/D3_L02_06_IMAGE_1.png,D3_L02_06_IMAGE_1.png,34626
D3,Dział 3,02,08,IMAGE,dzial 3/02/08/1.png,dzial 3/02/08/D3_L02_08_IMAGE_1.png,D3_L02_08_IMAGE_1.png,20991
D3,Dział 3,03,05,IMAGE,dzial 3/03/05/1.png,dzial 3/03/05/D3_L03_05_IMAGE_1.png,D3_L03_05_IMAGE_1.png,34475
D3,Dział 3,03,07,IMAGE,dzial 3/03/07/1.png,dzial 3/03/07/D3_L03_07_IMAGE_1.png,D3_L03_07_IMAGE_1.png,34475
D3,Dział 3,03,11,IMAGE,dzial 3/03/11/1.png,dzial 3/03/11/D3_L03_11_IMAGE_1.png,D3_L03_11_IMAGE_1.png,35631
D3,Dział 3,04,04,IMAGE,dzial 3/04/04/1.png,dzial 3/04/04/D3_L04_04_IMAGE_1.png,D3_L04_04_IMAGE_1.png,21749
D3,Dział 3,03,09W,IMAGE,dzial 3/03/09w/1.png,dzial 3/03/09w/D3_L03_09W_IMAGE_1.png,D3_L03_09W_IMAGE_1.png,45491
D3,Dział 3,04,06,IMAGE,dzial 3/04/06/1.png,dzial 3/04/06/D3_L04_06_IMAGE_1.png,D3_L04_06_IMAGE_1.png,38495
D3,Dział 3,00,02,IMAGE,dzial 3/0/02/1.png,dzial 3/0/02/D3_L00_02_IMAGE_1.png,D3_L00_02_IMAGE_1.png,18706
D3,Dział 3,00,04,IMAGE,dzial 3/0/04/1.png,dzial 3/0/04/D3_L00_04_IMAGE_1.png,D3_L00_04_IMAGE_1.png,19977
D3,Dział 3,00,06,IMAGE,dzial 3/0/06/1.png,dzial 3/0/06/D3_L00_06_IMAGE_1.png,D3_L00_06_IMAGE_1.png,14083
D3,Dział 3,00,08,IMAGE,dzial 3/0/08/1.png,dzial 3/0/08/D3_L00_08_IMAGE_1.png,D3_L00_08_IMAGE_1.png,14640
