department_code,department_title,collection_id,lesson,resource_folder,type,original_path,new_path,original_basename,new_basename,file_size_bytes,compressed_size_bytes,crc32,suggested_bunny_title
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,03,VIDEO,dzial 1/03/03/ScreenRecorderProject89.mkv,dzial 1/03/03/D1_L03_03_VIDEO_ScreenRecorderProject89.mkv,ScreenRecorderProject89.mkv,D1_L03_03_VIDEO_ScreenRecorderProject89.mkv,1399613,980276,cc460871,D1_L03_03_VIDEO_ScreenRecorderProject89
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,04,IMAGE,dzial 1/03/04/1.png,dzial 1/03/04/D1_L03_04_IMAGE_1.png,1.png,D1_L03_04_IMAGE_1.png,4574,4496,fb4add34,
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,05,VIDEO,dzial 1/03/05/ScreenRecorderProject90.mkv,dzial 1/03/05/D1_L03_05_VIDEO_ScreenRecorderProject90.mkv,ScreenRecorderProject90.mkv,D1_L03_05_VIDEO_ScreenRecorderProject90.mkv,2954031,1941679,5abdbb18,D1_L03_05_VIDEO_ScreenRecorderProject90
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,06,IMAGE,dzial 1/03/06/1.png,dzial 1/03/06/D1_L03_06_IMAGE_1.png,1.png,D1_L03_06_IMAGE_1.png,9402,6303,f903f239,
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,07,VIDEO,dzial 1/03/07/ScreenRecorderProject91.mkv,dzial 1/03/07/D1_L03_07_VIDEO_ScreenRecorderProject91.mkv,ScreenRecorderProject91.mkv,D1_L03_07_VIDEO_ScreenRecorderProject91.mkv,6823708,3919655,8faae32d,D1_L03_07_VIDEO_ScreenRecorderProject91
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,08,IMAGE,dzial 1/03/08/1.png,dzial 1/03/08/D1_L03_08_IMAGE_1.png,1.png,D1_L03_08_IMAGE_1.png,9552,6971,2f0f0dc1,
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,09,VIDEO,dzial 1/03/09/ScreenRecorderProject92.mkv,dzial 1/03/09/D1_L03_09_VIDEO_ScreenRecorderProject92.mkv,ScreenRecorderProject92.mkv,D1_L03_09_VIDEO_ScreenRecorderProject92.mkv,5123051,3001291,99659774,D1_L03_09_VIDEO_ScreenRecorderProject92
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,03,10,IMAGE,dzial 1/03/10/1.png,dzial 1/03/10/D1_L03_10_IMAGE_1.png,1.png,D1_L03_10_IMAGE_1.png,8546,6265,25b731d2,
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,06,01,VIDEO,dzial 1/06/01/ScreenRecorderProject86.mkv,dzial 1/06/01/D1_L06_01_VIDEO_ScreenRecorderProject86.mkv,ScreenRecorderProject86.mkv,D1_L06_01_VIDEO_ScreenRecorderProject86.mkv,21664729,6515712,cc6e49df,D1_L06_01_VIDEO_ScreenRecorderProject86
D1,Dział 1,47e97b09-7fd9-4ad8-8ed5-7384bc2349ab,06,02,VIDEO,dzial 1/06/02/ScreenRecorderProject86.mkv,dzial 1/06/02/D1_L06_02_VIDEO_ScreenRecorderProject86.mkv,ScreenRecorderProject86.mkv,D1_L06_02_VIDEO_ScreenRecorderProject86.mkv,1656794,1141599,d4cac105,D1_L06_02_VIDEO_ScreenRecorderProject86
