department_code,lesson,resource_folder,collection_id,original_path,new_basename,suggested_bunny_title
D2,07,11,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/07/11/ScreenRecorderProject73.mkv,D2_L07_11_VIDEO_ScreenRecorderProject73.mkv,D2_L07_11_VIDEO_ScreenRecorderProject73
D2,00,01,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/01/ScreenRecorderProject89.mkv,D2_L00_01_VIDEO_ScreenRecorderProject89.mkv,D2_L00_01_VIDEO_ScreenRecorderProject89
D2,00,03,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/03/ScreenRecorderProject90.mkv,D2_L00_03_VIDEO_ScreenRecorderProject90.mkv,D2_L00_03_VIDEO_ScreenRecorderProject90
D2,00,05,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/05/ScreenRecorderProject91.mkv,D2_L00_05_VIDEO_ScreenRecorderProject91.mkv,D2_L00_05_VIDEO_ScreenRecorderProject91
D2,00,07,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/0/07/ScreenRecorderProject92.mkv,D2_L00_07_VIDEO_ScreenRecorderProject92.mkv,D2_L00_07_VIDEO_ScreenRecorderProject92
D2,01,ROOT,f71eefa7-ff0f-4f64-8bb5-54ce7977437f,dzał 2/01/ScreenRecorderProject84.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject84.mkv,D2_L01_ROOT_VIDEO_ScreenRecorderProject84
D3,01,01,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/01/01/ScreenRecorderProject77.mkv,D3_L01_01_VIDEO_ScreenRecorderProject77.mkv,D3_L01_01_VIDEO_ScreenRecorderProject77
D3,02,01,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/02/01/ScreenRecorderProject80.mkv,D3_L02_01_VIDEO_ScreenRecorderProject80.mkv,D3_L02_01_VIDEO_ScreenRecorderProject80
D3,03,01,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/03/01/ScreenRecorderProject80.mkv,D3_L03_01_VIDEO_ScreenRecorderProject80.mkv,D3_L03_01_VIDEO_ScreenRecorderProject80
D3,04,ROOT,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/04/ScreenRecorderProject83.mkv,D3_L04_ROOT_VIDEO_ScreenRecorderProject83.mkv,D3_L04_ROOT_VIDEO_ScreenRecorderProject83
D3,05,ROOT,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/05/ScreenRecorderProject84.mkv,D3_L05_ROOT_VIDEO_ScreenRecorderProject84.mkv,D3_L05_ROOT_VIDEO_ScreenRecorderProject84
D3,04,01,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/04/01/ScreenRecorderProject83.mkv,D3_L04_01_VIDEO_ScreenRecorderProject83.mkv,D3_L04_01_VIDEO_ScreenRecorderProject83
D3,05,01,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/05/01/ScreenRecorderProject84.mkv,D3_L05_01_VIDEO_ScreenRecorderProject84.mkv,D3_L05_01_VIDEO_ScreenRecorderProject84
D3,01,03,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/01/03/ScreenRecorderProject84.mkv,D3_L01_03_VIDEO_ScreenRecorderProject84.mkv,D3_L01_03_VIDEO_ScreenRecorderProject84
D3,01,05,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/01/05/ScreenRecorderProject85.mkv,D3_L01_05_VIDEO_ScreenRecorderProject85.mkv,D3_L01_05_VIDEO_ScreenRecorderProject85
D3,01,07,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/01/07/ScreenRecorderProject86.mkv,D3_L01_07_VIDEO_ScreenRecorderProject86.mkv,D3_L01_07_VIDEO_ScreenRecorderProject86
D3,02,03,b98b4a50-1458-4136-bd02-f3368696160d,dzial 3/02/03/ScreenRecorderProject84.mkv,D3_L02_03_VIDEO_ScreenRecorderProject84.mkv,D3_L02_03_VIDEO_ScreenRecorderProject84
